"","Domain","EIN","Name","TwitterHandle"
"1277","childrensflightofhope.org","561762824","CHILDREN'S FLIGHT OF HOPE","FlightofHope"
"1278","childrenshealthfund.org","133468427","THE CHILDREN'S HEALTH FUND","chfund"
"1279","childrenshungeralliance.org","237303509","CHILDREN'S HUNGER ALLIANCE","CHAOhio"
"1280","childrensinn.org","521638207","THE CHILDREN'S INN AT NIH INC","TheChildrensInn"
"1281","childrensinstitute.org","451505136","CHILDREN'S INSTITUTE OF LOS ANGELES","CII_Updates"
"1282","childrensinstitute.org","951641424","CHILDREN'S INSTITUTE INC","CII_Updates"
"1283","childrenslifesaving.org","954371286","THE CHILDRENS LIFESAVING FOUNDATION","ChildrensLife"
"1284","childrensmercy.org","440605373","The Children's Mercy Hospital","ChildrensMercy"
"1285","childrensmuseumholyoke.org","42836882","CHILDREN'S MUSEUM AT HOLYOKE INC","CMHolyoke"
"1286","childrensmuseums.org","954087882","ASSOCIATION OF CHILDREN'S MUSEUMS INC","childmuseums"
"1287","childrenssafetycenter.org","621671178","CHILDREN'S SAFETY CENTER","CSCNWA"
"1288","childrensvillage.org","61599898","THE CHILDREN'S VILLAGE INSTITUTE","ChildrensVllg"
"1289","childrescuecoalition.org","455358378","CHILD RESCUE COALITION INC","ChildRescueCo"
"1290","childsaving.org","450489204","CHILD SAVING INSTITUTE INC","ChildSaving"
"1291","childsci.org","900168625","CHILDREN'S SCIENCE CENTER","ChildSci"
"1292","childsuccessfoundation.org","261308521","CHILD SUCCESS FOUNDATION","LosAngeleschild"
"1293","chimes.org","541691953","CHIMES DISTRICT OF COLUMBIA INC","ChimesInc"
"1294","chimes.org","541691952","CHIMES VIRGINIA INC","ChimesInc"
"1295","chinainstitute.org","131623937","China Institute in America Inc","ChinaInstitute_"
"1296","chirla.org","954421521","Coalition for Humane Immigrant Rights of","CHIRLA"
"1297","chkd.org","541278830","CHILDREN'S HEALTH SYSTEM INC","_CHKD"
"1298","chkd.org","541278865","Children's Health Foundation","_CHKD"
"1299","chmfoundation.org","320087353","CHILDREN'S HOSPITAL OF MICHIGAN FOUNDATION","CHMFoundation"
"1300","chnctfoundation.org","200395748","COMMUNITY HEALTH NETWORK OF CT FOUNDATION INC","chnctfoundation"
"1301","chnk.org","237068704","CHILDREN'S HOME OF NORTHERN KENTUCKY INC","CHNK_1882"
"1302","chnnyc.org","133083068","COMMUNITY HEALTHCARE NETWORK","CHNNYC"
"1303","choc.org","330612565","CRC Real Estate Corporation","chocchildrens"
"1304","chochousing.org","943326097","SCOC CORPORATION","CHOCUSA"
"1305","cholangiocarcinoma.org","205776861","THE CHOLANGIOCARCINOMA FOUNDATION","curecc"
"1306","chomhousing.org","10490195","COMMUNITY HOUSING OF MAINE INC","CHOMHousing"
"1307","chop.edu","231352166","THE CHILDREN'S HOSPITAL OF PHILADELPHIA","ChildrensPhila"
"1308","chop.edu","232665855","Radiology Associates of Children's","ChildrensPhila"
"1309","chopchopmag.org","43505334","CHOPCHOPKIDS INC","chopchopmag"
"1310","chordomafoundation.org","208423943","CHORDOMA FOUNDATION","sommerjo"
"1311","chorusamerica.org","232062595","CHORUS AMERICA","chorusamerica"
"1312","chrhealth.org","66082527","Community Health Resources Inc","CHRhealth"
"1313","chriscarrinofoundation.org","263424190","THE CHRIS CARRINO FOUNDATION","CC_FSHD"
"1314","christar.org","274567638","Christar International","christarusa"
"1315","christiancity.org","202873916","John Sparks Manor Inc","ChristianCity_"
"1316","christiancity.org","202873962","Larry Moore Manor Inc","CCIChildren"
"1317","christiancity.org","581728814","Christian City Estates Inc","ChristianCity_"
"1318","christianitytoday.com","520231554","Christianity Today International","CTmagazine"
"1319","christianservicecenter.org","591353031","CHRISTIAN SERVICE CENTER FOR","CSCOrlando"
"1320","christianworkingwoman.org","363381207","CHRISTIAN WORKING WOMAN","Mary_TCWW"
"1321","christlife.org","521972553","CHRISTLIFE INC","ChristLifeInc"
"1322","christmasinthecity.org","43188900","CHRISTMAS IN THE CITY INC","CITCBoston"
"1323","chw.org","391500074","CHILDREN'S HOSPITAL AND HEALTH SYSTEM INC","childhealthwi"
"1324","chw.org","391500075","CHILDREN'S HOSPITAL OF WISCONSIN FOUNDATION INC","childhealthwi"
"1325","chw.org","391789197","CHILDREN'S MEDICAL GROUP INC","childhealthwi"
"1326","cibu.edu","330683684","California International Business University","CIBU_SanDiego"
"1327","cic16.org","161493691","COMPANIONS IN COURAGE FOUNDATION","CiC16foundation"
"1328","cicf.org","454618430","THE INDIANAPOLIS FOUNDATION INC","CICFoundation"
"1329","ciclavia.org","273428380","CICLAVIA INC","CicLAvia"
"1330","cicoa.org","351859069","CICOA FOUNDATION INC","CICOA"
"1331","cihadf.org","742497109","I Have A Dream Foundation - Colorado","CIHADreamers"
"1332","cinemartsociety.org","300507986","HOUSTON CINEMA ARTS SOCIETY","CinemArtSociety"
"1333","cipusa.org","340929221","COUNCIL OF INTERNATIONAL PROGRAMS","CIPUSACleveland"
"1334","circleofsisterhood.org","272393582","Circle of Sisterhood Foundation Inc","CofS_Foundation"
"1335","cis-nyc.org","455258656","CABRINI IMMIGRANT SERVICES OF NEW YORK","cisnyc"
"1336","cischarlotte.org","581661795","Communities in Schools of","cischarlotte"
"1337","cisjax.org","593027895","COMMUNITIES IN SCHOOLS OF","CISJAX"
"1338","ciskalamazoo.org","382873188","COMMUNITIES IN SCHOOLS OF KALAMAZOO","CISKalamazoo"
"1339","cislv.org","232222874","COMMUNITIES IN SCHOOLS OF THE LEHIGH VALLEY INC","CISLV1"
"1340","cismidamerica.org","481175467","COMMUNITIES IN SCHOOLS OF","CISMidAmerica"
"1341","cisnevada.org","880292094","COMMUNITIES IN SCHOOLS OF NEVADA INC","CIS_Nevada"
"1342","cisnm.org","850481104","Communities In Schools of New Mexico","juliabergen5"
"1343","cisofchesterfield.org","460651192","COMMUNITIES IN SCHOOLS","CISChesterfield"
"1344","ciswa.org","911541026","COMMUNITIES IN SCHOOLS OF WASHINGTON STATE","CISWashington"
"1345","citihope.org","132907656","CITIHOPE INTERNATIONAL INC","Citihope"
"1346","citizenscoalcouncil.org","521926679","CITIZENS COAL COUNCIL","CitizCoalCncil"
"1347","citrusunitedway.org","592766815","UNITED WAY OF CITRUS COUNTY INC","citrusunitedway"
"1348","cityclub.org","346536228","THE CITY CLUB FORUM FOUNDATION","TheCityClub"
"1349","citydogsrescuedc.org","453356528","CITY DOGS RESCUE","CityDogsRescue"
"1350","citygrowers.org","452149344","CITY GROWERS INC","CityGrowersNYC"
"1351","cityhearts.org","954036895","City Hearts Kids Say Yes to the Arts","CityHeartsLA"
"1352","cityheightscdc.org","953661177","CITY HEIGHTS COMMUNITY DEVELOPMENT CORPORATION","cityheightscdc"
"1353","citykids.com","133453226","THE CITYKIDS FOUNDATION INC","CityKids_NYC"
"1354","citymeals.org","133634381","CITYMEALS-ON-WHEELS","Citymeals"
"1355","cityofboston.gov","453587147","FERDINAND BUILDING DEVELOPMENT CORPORATION","CharlestownONS"
"1356","cityofboston.gov","46185609","FUND FOR BOSTON NEIGHBORHOODS INC","BostonNeighbor"
"1357","cityofhope.org","953432210","Beckman Research Institute","nurserecruiter8"
"1358","cityonahill.org","43217458","CITY ON A HILL FOUNDATION INC","CoaHCPS"
"1359","cityonahillmilwaukee.org","392017873","CITY ON A HILL INC","CityonaHillMKE"
"1360","cityparksfoundation.org","133561657","CITY PARKS FOUNDATION","PfPNYC"
"1361","citysquare.org","752332948","CITYSQUARE","CitySq"
"1362","ciu.edu","570352247","COLUMBIA INTERNATIONAL UNIVERSITY","DiscoverCIU"
"1363","civicworks.com","521992368","FRIENDS OF CLIFTON MANSION INC","CivicWorksInc"
"1364","civiljusticenetwork.org","522102516","Civil Justice Inc","CivilJusticeInc"
"1365","civilrights.org","237026895","LEADERSHIP CONFERENCE EDUCATION FUND","civilrightsorg"
"1366","civilrightsmuseum.org","581484027","LORRAINE CIVIL RIGHTS MUSEUM FOUNDATION","NCRMuseum"
"1367","cjdfoundation.org","650404623","CREUTZFELDT-JAKOB DISEASE","CJDFoundation"
"1368","cjp.org","42103559","COMBINED JEWISH PHILANTHROPIES OF GREATER BOSTON INC","CJPBoston"
"1369","clancyworks.org","522333581","Clancy Works Inc","ClancyWorks"
"1370","clarehouse.org","731603851","CLAREHOUSE INC","Clarehouse_Inc"
"1371","clarionwest.org","911352168","Clarion West","ClarionWest"
"1372","clarkeschools.org","233065167","CLARKE PENNSYLVANIA INC","clarkeschools"
"1373","clarkschool.com","42679411","THE CLARK SCHOOL FOR CREATIVE LEARNING INC","ClarkSchMA"
"1374","classicalmusicindy.org","237002448","Fine Arts Society of Indianapolis","clssclmusicindy"
"1375","classicalsymphonyorchestra.org","363071191","THE CLASSICAL SYMPHONY ORCHESTRA","CSO_PP_ORCH"
"1376","classroomofthefuture.org","330765068","CLASSROOM OF THE FUTURE FOUNDATION","jkwright"
"1377","clausenhouse.org","941639361","CLAUSEN HOUSE","ClausenHouse"
"1378","claytonearlylearning.org","840432238","George W Clayton Trust","ClaytonLearning"
"1379","clcmemphis.com","621558575","COMMUNITY LEGAL CENTER","clcmemphis"
"1380","cleanenergytrust.org","272378677","CLEAN ENERGY TRUST","CleanEnergyTrst"
"1381","cleantheworld.org","264212487","CLEAN THE WORLD FOUNDATION INC","CleantheWorld"
"1382","cleanwaterfund.org","521043444","CLEAN WATER FUND","cleanh2ofund"
"1383","clemson.edu","570750000","CLEMSON UNIVERSITY RESEARCH FOUNDATION","southcarolina4h"
"1384","clevelandartsprize.org","10627754","CLEVELAND ARTS PRIZE","ClevelandPrize"
"1385","clevelandfoundation.org","340714588","THE CLEVELAND FOUNDATION","CleveFoundation"
"1386","clevelandhabitat.org","311209423","Greater Cleveland Habitat for Humanity Inc","CLEHabitat"
"1387","clevelandorchestra.com","340714468","The Musical Arts Association","CleveOrchestra"
"1388","clevelandrapecrisis.org","510164315","CLEVELAND RAPE CRISIS CENTER","clevelandrcc"
"1389","clevelandsightcenter.org","340714652","CLEVELAND SOCIETY FOR THE BLIND","ClevelandSight"
"1390","clevelandymca.org","340714728","YOUNG MENS CHRISTIAN ASSOCIATION OF CLEVELAND","WRTCKids"
"1391","clnkids.org","850366029","CLNKIDS INC","CLNkids"
"1392","clrp.org","223069277","CONNECTICUT LEGAL RIGHTS PROJECT INC","CTLegalRights"
"1393","cltc.org","770014788","CITY LIGHTS THEATER CO OF SAN JOSE INC","citylights"
"1394","clubayc.org","43341661","ALFOND YOUTH CENTER","aycmaine"
"1395","clubchampionsleague.com","462273276","Club Champions League Inc","SoccerCCL"
"1396","clubfootsolutions.org","460723703","CLUBFOOT SOLUTIONS","IowaBrace"
"1397","clubnova.org","270103430","CLUB NOVA COMMUNITY INC","ClubNovaNC"
"1398","clubrunner.ca","911675176","ALDERWOOD-TERRACE ROTARY FOUNDATION","rotaryabbysumas"
"1399","clubrunner.ca","20512441","Milford Rotary Club Foundation","rotaryabbysumas"
"1400","clubrunner.ca","943113061","ABERDEEN ROTARY FOUNDATION","rotaryabbysumas"
"1401","clubzona.org","860550646","BOYS & GIRLS CLUB OF THE EAST VALLEY","ClubzonaBGC"
"1402","cmee.org","113431939","CHILDREN'S MUSEUM OF THE EAST END","cmeetweet"
"1403","cmfdl.org","562471187","CHILDREN'S MUSEUM OF FOND DU LAC","CMFDL"
"1404","cmmnet.org","300170574","CHURCH MULTIPLICATION MINISTRIES INC","DrTomWood"
"1405","cmon.org","10687133","GOLISANO CHILDREN'S MUSEUM OF","CmonLetsLearn"
"1406","cmosc.org","203496878","CHILDREN'S MUSEUM OF SONOMA COUNTY","cmosc"
"1407","cmslv.org","232201343","COMMUNITY MUSIC SCHOOL","CMS_LVR"
"1408","cmsschicago.org","362210011","Chicagoland Methodist Senior Services","CMSSChicago"
"1409","cmt-stl.org","431412738","CITIZENS FOR MODERN TRANSIT","CMT_STL"
"1410","cmtausa.org","222480896","Charcot-Marie-Tooth Association","KensRide"
"1411","cn.edu","620479189","CARSON-NEWMAN UNIVERSITY","CNCounseling"
"1412","cnu.org","650483737","CONGRESS FOR THE NEW URBANISM","NewUrbanism"
"1413","coa-yfc.org","390806339","CHILDREN'S OUTING ASSOCIATION","COAYFC"
"1414","coa.edu","237032625","COLLEGE OF THE ATLANTIC","collegeatlantic"
"1415","coachart.org","943389547","COACHART","CoachArtOrg"
"1416","coalitionforthehomeless.org","133626917","BRIDGE HOMES INC","NYHomeless"
"1417","coastalcommunityfoundation.org","237390313","COASTAL COMMUNITY FOUNDATION","CCFofSC"
"1418","coastalcrisischaplain.org","570989842","COASTAL CRISIS CHAPLAINCY","TheChaplaincy"
"1419","coastguardmuseum.org","61621858","NATIONAL COAST GUARD MUSEUM","USCGMuseum"
"1420","cobleskill.edu","141576636","STUDENT GOVERNMENT SUNY COLLEGE OF","SUNYCobleskill"
"1421","cobleskill.edu","141416206","SUNY COBLESKILL AUXILIARY SERVICES INC","SUNYCobleskill"
"1422","coca-colascholars.org","581686023","COCA-COLA SCHOLARS FOUNDATION INC","JaneHaleHopkins"
"1423","code2040.org","455026246","PROJECTTF","phillip_loya"
"1424","codeintheschools.org","462234897","CODE IN THE SCHOOLS INC","CodeintheSchool"
"1425","codepink.org","262823386","CODEPINK WOMEN FOR PEACE","codepink"
"1426","cohhio.org","311189029","COALITION ON HOMELESSNESS AND HOUSING","COHHIO"
"1427","colage.org","943316616","COLAGE","COLAGENational"
"1428","colby-sawyer.edu","20222120","Colby-Sawyer College","CSC_alumni"
"1429","colgate.edu","150532083","COLGATE UNIVERSITY ALUMNI CORPORATION","monicalmercado"
"1430","collagecenter.com","363756851","COLLAGE CENTER","CollageCenter"
"1431","collegecampaign.org","200427622","CAMPAIGN FOR COLLEGE OPPORTUNITY","MSCollegeOpp"
"1432","collegeforcreativestudies.edu","381550064","COLLEGE FOR CREATIVE STUDIES","CCS_Detroit"
"1433","collegeforward.org","432003552","COLLEGE FORWARD","collegeforward"
"1434","collegesummit.org","522007028","COLLEGE SUMMIT INC","CollegeSummit"
"1435","colombianitos.org","582646131","COLOMBIANITOS INC","colombianitos"
"1436","coloncancercoalition.org","300377727","COLON CANCER COALITION","GYRIG_KC"
"1437","coloradocoalition.org","840951575","COLORADO COALITION FOR THE HOMELESS","COCoalition"
"1438","coloradocollege.edu","846029599","The Woman's Educational Society","ColoradoCollege"
"1439","coloradokids.org","742374672","Colorado Children's Campaign","ColoradoKidsOrg"
"1440","coloradosoccer.org","840833340","COLORADO SOCCER ASSOCIATION","wearecosoccer"
"1441","coloradouplift.org","840889330","COLORADO UPLIFT INC","ColoradoUpLift"
"1442","colossianforum.org","274553768","THE COLOSSIAN FORUM","ColossianForum"
"1443","columbialandtrust.org","943140861","COLUMBIA LAND TRUST","ColumbiaNature"
"1444","columbiamuseum.org","576007869","Columbia Museum of Art","ColaMuseum"
"1445","columbusfoundation.org","316044264","THE COLUMBUS FOUNDATION","colsfoundation"
"1446","columbusliteracy.org","237433168","THE COLUMBUS LITERACY COUNCIL","cbusliteracy"
"1447","comalhabitat.org","742667761","Habitat for Humanity International","ComalHabitat"
"1448","comcap.org","56018801","COMPREHENSIVE COMMUNITY ACTION INC","CCAPORG"
"1449","commaction.org","610650121","COMMUNITY ACT COUNCIL FOR LEX-FAY","CACAdvocate"
"1450","commentarymagazine.com","133610041","Commentary Inc","TobinCommentary"
"1451","commfirstfund.org","232689714","COMMUNITY FIRST FUND","CommFirstFund"
"1452","commongroundhelps.org","381997712","COMMON GROUND","CGHelps"
"1453","commonsense.org","412024986","COMMON SENSE MEDIA","CommonSense"
"1454","commonwealmagazine.org","133174407","COMMONWEAL FOUNDATION","commonwealmag"
"1455","commteam.org","42382027","COMMUNITY TEAMWORK INC","Comm_Team"
"1456","communities-for-people.org","42573248","COMMUNITIES FOR PEOPLE INC","CFPkids"
"1457","community-action.org","391052077","COMMUNITY ACTION INC OF ROCK & WALWORTH COUNTIES","CAIRockWalworth"
"1458","community-foodworks.org","273098311","COLUMBIA HEIGHTS COMMUNITY","MaryRoseConroy"
"1459","communityactionhouse.org","237120670","COMMUNITY ACTION HOUSE","actionhouse345"
"1460","communityalternatives.org","161395992","CENTER FOR COMMUNITY ALTERNATIVES","CCA_NY"
"1461","communityanderson.com","861053152","COMMUNITY HOSPITAL ANDERSON FDN","CommHospAnd"
"1462","communitycareercenter.org","364093212","COMMUNITY CAREER CENTER","CCCNaperville"
"1463","communityclinicnwa.org","311553455","ST FRANCIS HOUSE NWA INC","CClinicNWA"
"1464","communitycrisis.org","521634738","COMMUNITY CRISIS SERVICES INC","CCSITalks"
"1465","communityfoundationalliance.org","352116083","Alliance Initiatives Fund Inc","DaviessComFnd"
"1466","communityfoundationcbr.org","541647385","Community Foundation of the Central","CommFdn_CBR"
"1467","communitygarden.org","232161919","AMERICAN COMMUNITY GARDENING ASSOC","ACGA_CommGarden"
"1468","communitylaw.org","521320934","COMMUNITY LAW CENTER INC","CommunityLawCen"
"1469","communityliveralliance.org","461909171","COMMUNITY LIVER ALLIANCE","CLA_Pitt"
"1470","communitymainstreaming.org","237448487","COMMUNITY MAINSTREAMING ASSOCIATES INC","CMA_Inc"
"1471","communitymainstreaming.org","205282810","COMMUNITY MAINSTREAMING ENTERPRISES INC","CMA_Inc"
"1472","communitymedical.org","941156276","FRESNO COMMUNITY HOSPITAL AND MEDICAL CENTER","CommunityMed"
"1473","communityofhopedc.org","521184749","COMMUNITY OF HOPE INC","cohdc"
"1474","communitypartners.org","954302067","COMMUNITY PARTNERS","CommunityPrtnrs"
"1475","communityrebuilds.org","205636697","COMMUNITY REBUILDS","strawbale_CR"
"1476","communitysolutions.com","340714723","THE CENTER FOR COMMUNITY SOLUTIONS","CommunitySolsED"
"1477","comofriends.org","411943928","Como Friends","ComoFriends"
"1478","compact.org","50493226","CAMPUS COMPACT","Campus_Compact"
"1479","compassionthatcompels.org","463320729","Compassion That Compels","Kristiannefaith"
"1480","comptonjrposse.org","954699219","JR POSSE YOUTH EQUESTRIAN PROGRAM","JrPosseORG"
"1481","computers4kids.net","541996936","COMPUTERS4KIDS","C4Kcho"
"1482","conceptschools.org","30503751","CONCEPT SCHOOLS INC","ConceptSchools"
"1483","concernfoundation.org","237002878","CONCERN FOUNDATION","ConcernFdn"
"1484","concordacademy.org","41200600","CONCORD ACADEMY","Concord_Academy"
"1485","concordialm.org","205138278","Concordia Lutheran Ministries","ConcordiaLM"
"1486","concordialm.org","611682165","Concordia of Ohio","ConcordiaLM"
"1487","concordymca.org","20223358","YOUNG MEN'S CHRISTIAN ASSOCIATION OF CONCORD NH","ConcordYMCA"
"1488","congenitalhi.org","203068945","CONGENITAL HYPERINSULINISM INTERNATIONAL","congenitalhi"
"1489","conmimadre.org","262034766","Con Mi Madre","ConMiMADRE"
"1490","conncf.org","66038074","CONNECTICUT COMMUNITY FOUNDATION INC","CCF1923"
"1491","connect2help211.org","311216792","INFORMATION AND REFERRAL NETWORK INC","Connect2Help211"
"1492","connecticutchildrens.org","222619870","CCMC AFFILIATES INC","ctchildrens"
"1493","connecticutchildrens.org","61446900","CONNECTICUT CHILDREN'S SPECIALTY GROUP INC","ctchildrens"
"1494","connecticutchildrens.org","60646755","CONNECTICUT CHILDREN'S MEDICAL CENTER","ctchildrens"
"1495","connerprairie.org","203402547","CONNER PRAIRIE FOUNDATION INC","ConnerPrairie"
"1496","conservationlands.org","208924520","Conservation Lands Foundation","ConservationLF"
"1497","conservatorscenter.org","562149941","CONSERVATORS CENTER INC","ConservatorsNC"
"1498","conserveschool.org","364140938","CONSERVE SCHOOL CORPORATION","Conserve_School"
"1499","conserveturtles.org","596151069","SEA TURTLE CONSERVANCY","conserveturtles"
"1500","constellationschools.com","341996942","CONSTELLATION SCHOOLS PURITAS COMMUNITY MIDDLE","ConstellationOH"
"1501","constellationschools.com","311530830","CONSTELLATION SCHOOLS OLD BROOKLYN","ConstellationOH"
"1502","constellationschools.com","341911935","CONSTELLATION SCHOOLS PARMA COMMUNITY","ConstellationOH"
"1503","constellationschools.com","341932957","CONSTELLATION SCHOOLS WESTPARK","ConstellationOH"
"1504","constellationschools.com","341996940","CONSTELLATION SCHOOLS OUTREACH ACADEMY","ConstellationOH"
"1505","constellationschools.com","261908099","CONSTELLATION SCHOOLS MANSFIELD COMMUNITY MIDDLE","ConstellationOH"
"1506","constitutioncenter.org","232434447","National Constitution Center","ConstitutionCtr"
"1507","consumered.org","522254613","Alliance for Consumer Education","consumered"
"1508","consumerreports.org","131776434","CONSUMERS UNION OF UNITED STATES INC","CRBestBuyDrugs"
"1509","conventchurch.org","132780116","CONVENT AVENUE BAPT CHURCH-HAMILTON GRANGE SENIOR","_TheFireWithin"
"1510","convergencepolicy.org","320280279","CONVERGENCE CENTER FOR POLICY RESOLUTION","ConvergenceCtr"
"1511","convoyofhope.org","680051386","CONVOY OF HOPE","ConvoyofHope"
"1512","cookecenter.org","133396691","COOKE CENTER FOR LEARNING AND DEVELOPMENT","CookeCenter"
"1513","cookforyourlife.org","260525634","COOK FOR YOUR LIFE INC","CookForYourLife"
"1514","cooperhealth.org","223832149","Cooper Medical Services Inc","CooperHospital"
"1515","cooperhealth.org","222213715","The Cooper Foundation Inc","CooperHospital"
"1516","cooperhealth.org","210634462","The Cooper Health System a New Jersey","CooperHospital"
"1517","cooperinstitute.org","237075529","THE COOPER INSTITUTE","CooperInstitute"
"1518","copecenter.org","591469145","CHAUTAUQUA OFFICES OF PSYCHOTHERAPY AND","COPECenterdfs"
"1519","copticorphans.org","541637257","COPTIC ORPHANS SUPPORT ASSOCIATION","CopticOrphans"
"1520","coral.org","943211245","THE CORAL REEF ALLIANCE","coral_org"
"1521","core.org","251332885","CENTER FOR ORGAN RECOVERY AND EDUCATION","COREDonateLife"
"1522","coregives.org","201584617","CHILDREN OF RESTAURANT EMPLOYEES","COREGives"
"1523","cornell.edu","150532082","Cornell University","Cornell"
"1524","corpsnetwork.org","521480202","THE CORPS NETWORK","TheCorpsNetwork"
"1525","cortland.edu","160998593","CORTLAND COLLEGE STUDENT ASSOCIATION","CortlandSUNY"
"1526","cortneysplace.org","421745079","CORTNEY'S PLACE","CortneysPlace"
"1527","councilofnonprofits.org","521689643","NATIONAL COUNCIL OF NONPROFITS","NatlCouncilNPs"
"1528","councilonaging.com","946138714","COUNCIL ON AGING SERVICES FOR SENIORS","SonomaCOA"
"1529","councilonrecovery.org","741173235","Houston Council on Alcoholism and Drug","councilrecovery"
"1530","councilsepa.org","231972816","THE COUNCIL OF SOUTHEAST","TheCouncilSEPA"
"1531","counselinginschools.org","133637647","COUNSELING IN SCHOOLS INC","JoinCIS"
"1532","countbasietheatre.org","593828864","COUNT BASIE THEATRE FOUNDATIONINC","CountBasieThtr"
"1533","countrymusichalloffame.org","620753887","COUNTRY MUSIC FOUNDATION INC","countrymusichof"
"1534","countytheater.org","232230422","COUNTY THEATER INC","CountyTheater"
"1535","courage360.org","911161700","COURAGE360","Courage360WA"
"1536","covenantatlanta.org","582010185","COVENANT COMMUNITY INC","covenantatlanta"
"1537","covenanthealth.org","274348285","COVENANT LAKESIDE WOMENS & CHILDRENS AUXILIARY","covhs"
"1538","covenanthealth.org","752897026","Covenant Health System Foundation","covhs"
"1539","covenanthouse.org","132725416","COVENANT HOUSE","CovenantHouse"
"1540","covenanthousedc.org","133537709","COVENANT HOUSE WASHINGTON DC","CovenantHouseDC"
"1541","covenanthousega.org","133523561","COVENANT HOUSE GEORGIA INC","CovenantHouseGA"
"1542","covenanthousenj.org","133537710","COVENANT HOUSE NEW JERSEY","CovenantHouseNJ"
"1543","cowboyjoeclub.com","237055765","COWBOY JOE CLUB","CowboyJoeClub"
"1544","cowtownmarathon.org","752198418","COWTOWN MARATHON","thecowtown"
"1545","cp-cto.org","592704597","Housing Partnership Inc","PBCSafeKids"
"1546","cp-cto.org","591964034","Parent-Child Center Inc","PBCSafeKids"
"1547","cparc.org","231489837","THE ARC OF CUMBERLAND AND PERRY COUNTIES","CPARC53"
"1548","cpcpasadena.org","760120799","Community Pregnancy Center of Pasadena","YourPregCenter"
"1549","cphmems.org","141609161","CLIFTON PARK & HALFMOON","CPHM_EMS"
"1550","cpnyc.org","830440009","CHILDREN OF PROMISE NYC","CPNYC06"
"1551","cprdogs.com","203595457","COMPANION PET RESCUE & TRANSPORT OF","cprdogs"
"1552","cpyb.org","231971982","CENTRAL PENNSYLVANIA YOUTH BALLET","CPYBallet"
"1553","cradle.org","362181994","The Cradle Society","CradleAdoption"
"1554","cradlebeach.org","160743025","CRADLE BEACH CAMP INC","Cradle_Beach"
"1555","cradlestocrayons.org","43584367","CRADLES TO CRAYONS INC","c2cboston"
"1556","craft3.org","465384846","Craft3 Future Energy Fund","Craft3Org"
"1557","craftalliance.org","431022226","CRAFT ALLIANCE","CraftAlliance"
"1558","craftemergency.org","133273980","CRAFT EMERGENCY RELIEF FUND INC","CERFplus"
"1559","crandalllibrary.org","141338381","CRANDALL PUBLIC LIBRARY","CrandallLibrary"
"1560","crcna.org","383293004","The Christian Reformed Church in North America Foundation","CRCNA"
"1561","creation.com","204588239","CREATION MINISTRIES INTERNATIONAL","jesse_R_1979"
"1562","creationcare.org","232827214","EVANGELICAL ENVIRONMENTAL NETWORK","CreationCare"
"1563","creativeaging.org","870805049","NATIONAL CENTER FOR CREATIVE AGING","CreativityAging"
"1564","creativity.org","943178735","Childrens Creativity Museum","creativitykids"
"1565","creighton.edu","470376583","CREIGHTON UNIVERSITY","Creighton"
"1566","creoks.org","731108774","CREOKS MENTAL HEALTH SERVICES","creoksbhs"
"1567","crfc.org","363704776","Constitutional Rights Foundation Chicago","CRFChicago"
"1568","crfoc.org","330068500","CONSTITUTIONAL RIGHTS FOUNDATION OF ORANGE COUNTY","CRF_OC"
"1569","crimestoppersnm.org","850267353","ALBUQUERQUE METROPOLITAN","CrimeStoppersNM"
"1570","crimesurvivors.org","300229425","CRIME SURVIVORS INC","crimesurvivors"
"1571","crisisandcounseling.org","10288363","CRISIS AND COUNSELING CENTERS INC","CnCCenters"
"1572","crisiscenternorth.org","251425416","CRISIS CENTER NORTH INC","CrisisCenterNor"
"1573","crisistextline.org","465039599","CRISIS TEXT LINE INC","CrisisTextLine"
"1574","crispusattucks.org","231365320","CRISPUS ATTUCKS ASSOCIATION OF YORK PA","crispusattucks"
"1575","criticalmass.org","454509389","YOUNG ADULT ALLIANCE","heycriticalmass"
"1576","crlibrary.org","237292786","CEDAR RAPIDS PUBLIC LIBRARY FOUNDATION","CRPublicLibrary"
"1577","crookedtree.org","237187264","CROOKED TREE ARTS COUNCIL INC","crookedtreearts"
"1578","crosscut.com","800307914","CROSSCUT PUBLIC MEDIA","Crosscut"
"1579","crossingministries.org","311537445","KENTUCKY BAPTIST ASSEMBLIES INC","thecrossing_uw"
"1580","crossoverusa.org","581758477","CROSSOVER COMMUNICATIONS INTL","CrossoverUSA"
"1581","crossroads-lake.org","341458441","Crossroads Lake County Adolescent","CrossroadsofLC"
"1582","crossroadscommunityfoodnetwork.org","364635237","CROSSROADS COMMUNITY FOOD","CrossroadsNtwk"
"1583","crossroadsforyouth.org","381443363","CROSSROADS FOR YOUTH","CRFYouth"
"1584","crossroadsfoundation.org","251513510","THE CROSSROADS FOUNDATION","CrossroadsFdn"
"1585","crossroadshouse.com","161505042","CROSSROADS HOUSE","chbatavia"
"1586","crowleyfl.org","237374527","CROWLEY MUSEUM & NATURE CENTER INC","CrowleyFL1"
"1587","crystalstairs.org","953510046","CRYSTAL STAIRS INC","CrystalStairsLA"
"1588","csarts.org","591356847","COMMUNITY SCHOOL OF THE ARTS","CSARTS"
"1589","csb.org","311181284","COMMUNITY SHELTER BOARD","CommShelterBd"
"1590","cscfw.org","751099536","CHILD STUDY CENTER","childstudyfw"
